store,city,district,population,address,lng,lat,city_district
광주전대정문점,광주광역시,북구,436188.0,광주광역시 북구 신안동 210-1 ,126.9047709,35.1715162,광주광역시북구
광주조대점,광주광역시,동구,95743.0,광주광역시 동구 동명동 135-2,126.92726929999999,35.14700670000001,광주광역시동구
광주진월점,광주광역시,남구,217949.0,광주광역시 남구 진월동 285-3 ,126.897295,35.1222686,광주광역시남구
광주첨단2지구점,광주광역시,북구,436188.0,광주광역시 북구 신용동 684 ,126.8631255,35.2087585,광주광역시북구
광주첨단점,광주광역시,광산구,406384.0,광주광역시 광산구 월계동 766-3 ,126.8422857,35.213271,광주광역시광산구
광주탄벌점,경기도,광주시,366092.0,경기도 광주시 벌원길 67,127.248356,37.4159494,경기도광주시
광주풍암점,광주광역시,서구,301909.0,광주광역시 서구 풍암동 1123-1 ,126.87961680000001,35.1254575,광주광역시서구
광주하남2지구점,광주광역시,광산구,406384.0,광주광역시 광산구 산정동 1017-8 ,126.79895800000001,35.176065,광주광역시광산구
광주하남점,광주광역시,광산구,406384.0,광주광역시 광산구 우산동 1579-3 ,126.80674029999999,35.1635475,광주광역시광산구
광주효천2지구점,광주광역시,남구,217949.0,광주광역시 남구 행암동 579,126.8892557,35.1022818,광주광역시남구
광진구청점,서울특별시,광진구,354344.0,서울특별시 광진구 자양로 120,127.08358510000001,37.5385811,서울특별시광진구
광천점,충청남도,홍성군,101037.0,충청남도 홍성군 광천읍 광천리 244-1 ,126.6259625,36.50263020000001,충청남도홍성군
광혜원점,충청북도,진천군,79919.0,충청북도 진천군 광혜원면 광혜원리 247-1 ,127.4457159,36.9903232,충청북도진천군
괴산점,충청북도,괴산군,38133.0,충청북도 괴산군 괴산읍 동부리 661-86,127.7929914,36.8091186,충청북도괴산군
구갈점,경기도,용인시,1042229.0,경기도 용인시 기흥구 관곡로64번길 18,127.1124939,37.2811299,경기도용인시
구로1점,서울특별시,구로구,405516.0,서울특별시 구로구 도림로 65,126.8908878,37.489393799999995,서울특별시구로구
구로5동점,서울특별시,구로구,405516.0,서울특별시 구로구 공원로 35,126.89044720000001,37.50009470000001,서울특별시구로구
구로전화국점,서울특별시,금천구,234173.0,서울특별시 금천구 독산로 353,126.90361979999999,37.47844570000001,서울특별시금천구
구리갈매점,경기도,구리시,201952.0,경기도 구리시 갈매중앙로 89-8,127.1173187,37.6328665,경기도구리시
구리검배사거리점,경기도,구리시,201952.0,경기도 구리시 벌말로 186,127.15058729999998,37.5928658,경기도구리시
구리수택점,경기도,구리시,201952.0,경기도 구리시 체육관로80번길 19,127.13904950000001,37.5919196,경기도구리시
구리인창점,경기도,구리시,201952.0,경기도 구리시 동구릉로85번길 25,127.1330541,37.608793,경기도구리시
구리주공점,경기도,구리시,201952.0,경기도 구리시 건원대로76번길 29,127.14057779999999,37.608332399999995,경기도구리시
구미공단점,경상북도,구미시,420294.0,경상북도 구미시 공단동 109,128.3729056,36.12134620000001,경상북도구미시
구미도량점,경상북도,구미시,420294.0,경상북도 구미시 도량동 227-4,128.3171529,36.139281200000006,경상북도구미시
구미상모초교점,경상북도,구미시,420294.0,경상북도 구미시 임은동 801-1 ,128.35859409999998,36.089777500000004,경상북도구미시
구미형곡점,경상북도,구미시,420294.0,경상북도 구미시 형곡동 292-3,128.3336651,36.10732460000001,경상북도구미시
구미황상점,경상북도,구미시,420294.0,경상북도 구미시 황상동 200-7,128.42632659999998,36.1173592,경상북도구미시
구반포역점,서울특별시,서초구,432336.0,서울특별시 서초구 신반포로 49,126.9900136,37.502212899999996,서울특별시서초구
구산역점,서울특별시,은평구,484267.0,서울특별시 은평구 서오릉로 130,126.91850159999998,37.6107829,서울특별시은평구
구일점,서울특별시,구로구,405516.0,서울특별시 구로구 구일로4길 46,126.877219,37.4927124,서울특별시구로구
군산나운점,전라북도,군산시,271781.0,전라북도 군산시 나운동 153-7번지,126.69962920000002,35.961243599999996,전라북도군산시
군산대점,전라북도,군산시,271781.0,전라북도 군산시 미룡동 888-2 ,126.687702,35.9447964,전라북도군산시
군산명산사거리점,전라북도,군산시,271781.0,전라북도 군산시 명산동 7-8 ,126.70977040000001,35.9849829,전라북도군산시
군산수송점,전라북도,군산시,271781.0,전라북도 군산시 수송동 841 101호 ,126.71945590000001,35.9665664,전라북도군산시
군자역점,서울특별시,광진구,354344.0,서울특별시 광진구 천호대로111길 24,127.0826068,37.5573223,서울특별시광진구
군포경찰서점,경기도,군포시,275207.0,경기도 군포시 번영로550번길 3,126.9377586,37.360041700000004,경기도군포시
군포당동점,경기도,군포시,275207.0,경기도 군포시 고산로 251,126.9440742,37.3459376,경기도군포시
군포대야미점,경기도,군포시,275207.0,경기도 군포시 대야1로22번길 4,126.91765149999999,37.327507399999995,경기도군포시
군포흥진점,경기도,군포시,275207.0,경기도 군포시 광정로 25-58,126.93052709999999,37.3541645,경기도군포시
금산점,충청남도,금산군,52957.0,충청남도 금산군 금산읍 상리 175-3 엔이시티110호 ,127.4892689,36.1033471,충청남도금산군
금왕점,충청북도,음성군,95375.0,충청북도 음성군 금왕읍 무극리 513-1 ,127.590097,36.9923516,충청북도음성군
금호점,서울특별시,성동구,305785.0,서울특별시 성동구 장터길 43,127.02074440000001,37.5484004,서울특별시성동구
길동점,서울특별시,강동구,424727.0,서울특별시 강동구 양재대로116길 38,127.14248789999999,37.538154799999994,서울특별시강동구
길음역점,서울특별시,성북구,439754.0,서울특별시 성북구 동소문로 248,127.02367360000001,37.6026982,서울특별시성북구
김량장점,경기도,용인시,1042229.0,경기도 용인시 처인구 중부대로 1360,127.19553810000001,37.2343406,경기도용인시
김천아포점,경상북도,김천시,141397.0,경상북도 김천시 아포읍 국사리 1004,128.2623756,36.1595321,경상북도김천시
김천평화점,경상북도,김천시,141397.0,경상북도 김천시 평화동 245-24 ,128.11155490000002,36.1253548,경상북도김천시
김천혁신점,경상북도,김천시,141397.0,경상북도 김천시 율곡동 652,128.18804,36.1222722,경상북도김천시
김포감정점,경기도,김포시,429752.0,경기도 김포시 중봉1로 9,126.6987058,37.6230028,경기도김포시
김포고촌점,경기도,김포시,429752.0,경기도 김포시 고촌읍 장차로 1,126.76963899999998,37.60255479999999,경기도김포시
김포사우점,경기도,김포시,429752.0,경기도 김포시 사우중로 79,126.72052109999998,37.6218911,경기도김포시
김포양곡점,경기도,김포시,429752.0,경기도 김포시 양촌읍 양곡로 495,126.6281128,37.655164299999996,경기도김포시
김포장기점,경기도,김포시,429752.0,경기도 김포시 김포한강1로51번길 28,126.66698090000001,37.6441539,경기도김포시
김포통진점,경기도,김포시,429752.0,경기도 김포시 통진읍 조강로 40,126.6011313,37.6898125,경기도김포시
김포풍무점,경기도,김포시,429752.0,경기도 김포시 풍무로 105,126.72186799999999,37.604937899999996,경기도김포시
김해구산점,경상남도,김해시,536707.0,경상남도 김해시 구산동 483-1,128.8721516,35.2513855,경상남도김해시
김해내외점,경상남도,김해시,536707.0,경상남도 김해시 외동 1253-4 임호빌딩 103호 ,128.8655187,35.23263499999999,경상남도김해시
김해부원점,경상남도,김해시,536707.0,경상남도 김해시 부원동 609-22 ,128.8827615,35.2287217,경상남도김해시
김해삼계점,경상남도,김해시,536707.0,경상남도 김해시 삼계동 1439-5번지 가야아이파크 상가,128.87023390000002,35.2644793,경상남도김해시
김해삼방점,경상남도,김해시,536707.0,경상남도 김해시 삼방동 665-8 ,128.9097391,35.250792,경상남도김해시
김해장유삼문점,경상남도,김해시,536707.0,경상남도 김해시 장유면 삼문리 39-14 ,128.808808,35.203742,경상남도김해시
김해진영읍점,경상남도,김해시,536707.0,경상남도 김해시 진영읍 여래리 708-4,128.73540549999998,35.3029004,경상남도김해시
나주빛가람점,전라남도,나주시,114815.0,전라남도 나주시 빛가람동 692-4,126.78804540000002,35.0097464,전라남도나주시
낙성대역점,서울특별시,관악구,502251.0,서울특별시 관악구 남부순환로 1949,126.9656159,37.4765457,서울특별시관악구
난곡점,서울특별시,관악구,502251.0,서울특별시 관악구 난곡로 203,126.91849740000002,37.473110299999995,서울특별시관악구
난곡파로스점,서울특별시,관악구,502251.0,서울특별시 관악구 난곡로 100,126.9195348,37.4642923,서울특별시관악구
남목3동점,울산광역시,동구,161582.0,울산광역시 동구 서부동 351-1 ,129.4255546,35.5412333,울산광역시동구
남부터미널역점,서울특별시,서초구,432336.0,서울특별시 서초구 서초중앙로 42,127.01627579999999,37.4858725,서울특별시서초구
남성역점,서울특별시,동작구,399118.0,서울특별시 동작구 사당로 226,126.9728006,37.4835662,서울특별시동작구
남양주금곡점,경기도,남양주시,687575.0,경기도 남양주시 금곡로38,127.2073527,37.6339415,경기도남양주시
남양주덕소점,경기도,남양주시,687575.0,경기도 남양주시 와부읍 덕소로 72,127.21113600000001,37.5870289,경기도남양주시
남양주도곡점,경기도,남양주시,687575.0,경기도 남양주시 와부읍 덕소로 194,127.2161087,37.5789305,경기도남양주시
남양주도농점,경기도,남양주시,687575.0,경기도 남양주시 도농로17번길 1,127.1569385,37.6075609,경기도남양주시
남양주마석점,경기도,남양주시,687575.0,경기도 남양주시 화도읍 마석로 59,127.3057733,37.6562342,경기도남양주시
남양주사능점,경기도,남양주시,687575.0,경기도 남양주시 진건읍 진건오남로 93,127.1780933,37.659094700000004,경기도남양주시
남양주양지점,경기도,남양주시,687575.0,경기도 남양주시 오남읍 진건오남로 793,127.2031758,37.6974596,경기도남양주시
남양주장현점,경기도,남양주시,687575.0,경기도 남양주시 진접읍 장현로 63,127.180151,37.716651,경기도남양주시
남양주진접1호점,경기도,남양주시,687575.0,경기도 남양주시 진접읍 해밀예당3로 52,127.19856680000001,37.7144909,경기도남양주시
남양주청학점,경기도,남양주시,687575.0,경기도 남양주시 별내면 청학로68번길 5-18,127.1190261,37.70853889999999,경기도남양주시
남양주평내점,경기도,남양주시,687575.0,경기도 남양주시 평내로 88,127.23687690000001,37.64326920000001,경기도남양주시
남양주호평점,경기도,남양주시,687575.0,경기도 남양주시 늘을2로 26,127.2441115,37.6550783,경기도남양주시
남원하정점,전라북도,남원시,82095.0,전라북도 남원시 하정동 180-1,127.37956100000001,35.4073573,전라북도남원시
남춘천점,강원도,춘천시,280098.0,강원도 춘천시 춘주로 150,127.7245283,37.8581338,강원도춘천시
남현점,서울특별시,관악구,502251.0,서울특별시 관악구 남현1가길 4,126.97760840000001,37.475718,서울특별시관악구
내발산점,서울특별시,강서구,596233.0,서울특별시 강서구 강서로 306,126.83675590000001,37.55289129999999,서울특별시강서구
노룬산점,서울특별시,광진구,354344.0,서울특별시 광진구 뚝섬로 480,127.06354409999999,37.5364452,서울특별시광진구
노원점,서울특별시,노원구,539884.0,서울특별시 노원구 동일로 1390,127.0615013,37.6527203,서울특별시노원구
녹번점,서울특별시,은평구,484267.0,서울특별시 은평구 은평로 197-1,126.9295919,37.6018747,서울특별시은평구
논산연무점,충청남도,논산시,120005.0,충청남도 논산시 연무읍 안심리 1-125 ,127.0992933,36.1324633,충청남도논산시
논산점,충청남도,논산시,120005.0,충청남도 논산시 취암동 574-50 ,127.089211,36.199870000000004,충청남도논산시
논현점,서울특별시,강남구,542108.0,서울특별시 강남구 강남대로122길 41,127.02629070000002,37.50881370000001,서울특별시강남구
능평삼거리점,경기도,광주시,366092.0,경기도 광주시 오포읍 오포로 121,127.17951229999998,37.3441952,경기도광주시
답십리점,서울특별시,동대문구,346312.0,서울특별시 동대문구 전농로 104,127.057829,37.5742794,서울특별시동대문구
당고개점,서울특별시,노원구,539884.0,서울특별시 노원구 상계로 306,127.0795793,37.6703196,서울특별시노원구
당산점,서울특별시,영등포구,368874.0,서울특별시 영등포구 당산로44길 3,126.90077990000002,37.531988399999996,서울특별시영등포구
당진신평점,충청남도,당진시,167481.0,충청남도 당진시 신평면 거산리 182-12 ,126.7531545,36.8792671,충청남도당진시
당진원당점,충청남도,당진시,167481.0,충청남도 당진시 당진시 밤절로 104 그린빌아파트 상가,126.643147,36.900862,충청남도당진시
당진읍내점,충청남도,당진시,167481.0,충청남도 당진시 당진읍 읍내리 242-1 ,126.63738000000001,36.895979,충청남도당진시
대구감삼점,대구광역시,달서구,571682.0,"대구광역시 달서구 감삼동 320-15 ""감삼빌딩"" ",128.54118,35.843709499999996,대구광역시달서구
대구담티역점,대구광역시,수성구,431613.0,대구광역시 수성구 만촌동 860 금탑상가 3동9호 ,128.6535867,35.854231,대구광역시수성구
대구대곡역점,대구광역시,달성군,253800.0,대구광역시 달성군 화원읍 구라리 1717,128.5111986,35.8110071,대구광역시달성군
대구도원점,대구광역시,달서구,571682.0,대구광역시 달서구 도원동 1431-4 전원빌딩109호,128.5355107,35.808004499999996,대구광역시달서구
대구동호지구점,대구광역시,동구,348825.0,"대구광역시 동구 신서동 538-1,동호해오름타운101-104 ",128.7263561,35.86745949999999,대구광역시동구
대구범어역점,대구광역시,수성구,431613.0,대구광역시 수성구 범어동 792-4,128.6241387,35.8580311,대구광역시수성구
대구봉덕점,대구광역시,남구,148682.0,대구광역시 남구 봉덕동 1327-98,128.5993201,35.8368247,대구광역시남구
대구불로점,대구광역시,동구,348825.0,대구광역시 동구 불로동 400 ,128.64076459999998,35.9115646,대구광역시동구
대구사월역점,대구광역시,수성구,431613.0,대구광역시 수성구 신매동 10-7 시지퍼스트111호,128.7159904,35.8364195,대구광역시수성구
대구상인점,대구광역시,달서구,571682.0,대구광역시 달서구 상인동 1514 동방타운상가 106동 110호 ,128.5405349,35.817177,대구광역시달서구
대구용산점,대구광역시,달서구,571682.0,대구광역시 달서구 용산1동 932-6 ,128.5308691,35.858044,대구광역시달서구
대구월성점,대구광역시,달서구,571682.0,대구광역시 달서구 월성2동 273-4 센트로벨리107 ,128.5308219,35.831635399999996,대구광역시달서구
대구지산점,대구광역시,수성구,431613.0,대구광역시 수성구 지산동 1288-9 ,128.6402007,35.8218744,대구광역시수성구
대구침산점,대구광역시,북구,439093.0,대구광역시 북구 침산동 430-1 포브스109호 ,128.58625,35.8889375,대구광역시북구
대구테크노폴리스점,대구광역시,대구,253800.0,대구광역시 대구 달성군 유가면 봉리 607,128.470459,35.692689,대구광역시대구
대림사거리점,서울특별시,동작구,399118.0,서울특별시 동작구 대림로 56,126.9073949,37.488456799999994,서울특별시동작구
대림우성점,서울특별시,영등포구,368874.0,서울특별시 영등포구 대림로 154,126.9003403,37.4947705,서울특별시영등포구
대방현대점,서울특별시,동작구,399118.0,서울특별시 동작구 등용로 127,126.93067140000001,37.5129359,서울특별시동작구
대소점,충청북도,음성군,95375.0,충청북도 음성군 대소면 태생리 539-22,127.49068770000001,36.9659251,충청북도음성군
대전가장점,대전광역시,서구,481763.0,대전광역시 서구 가장동 55,127.3841518,36.3338321,대전광역시서구
대전갈마점,대전광역시,서구,481763.0,대전광역시 서구 갈마동 351-2 ,127.37171770000002,36.3472701,대전광역시서구
대전관저원앙점,대전광역시,서구,481763.0,대전광역시 서구 관저동 1833번지,127.33682350000001,36.3072453,대전광역시서구
대전관저점,대전광역시,서구,481763.0,대전광역시 서구 관저동 구봉마을 8단지 정문상가,127.33192,36.298836,대전광역시서구
대전낭월점,대전광역시,동구,229309.0,대전광역시 동구 낭월동 468 ,127.4678507,36.2803639,대전광역시동구
대전노은역점,대전광역시,유성구,349868.0,대전광역시 유성구 지족동 905-4,127.31850619999999,36.372547,대전광역시유성구
대전둔산3동점,대전광역시,서구,481763.0,대전광역시 서구 둔산3동 1929 ,127.3971415,36.35063579999999,대전광역시서구
대전만년점,대전광역시,서구,481763.0,대전광역시 서구 만년동 267 ,127.37648519999999,36.3658594,대전광역시서구
대전문화점,대전광역시,중구,125913.0,대전광역시 중구 문화동 1-3 센트럴 파크 APT 상가 102,127.4126263,36.3186963,대전광역시중구
대전복수점,대전광역시,서구,481763.0,대전광역시 서구 복수동 757 ,127.37793629999999,36.297964799999995,대전광역시서구
대전중리점,대전광역시,대덕구,180249.0,대전광역시 대덕구 중리동 243-26 ,127.4272388,36.3558546,대전광역시대덕구
대전태평점,대전광역시,중구,125913.0,대전광역시 중구 유천동 197-1 ,127.39690690000002,36.322125899999996,대전광역시중구
