시도,시군구,지점명,주소,lng,lat,브랜드
부산광역시,남구,해군작전사령부점,부산 남구 용호동 943,129.1013214,35.0966789,오구쌀피자
부산광역시,부산진구,가야점,부산 부산진구 가야동 453,129.0339048,35.1491734,피자에땅
부산광역시,강서구,명지점,부산 강서구 명지오션시티 10로 16,128.8976538,35.0855819,피자에땅
부산광역시,금정구,구서점,부산 금정구 금강로 465,129.0879464,35.2488875,피자에땅
부산광역시,금정구,부산대점,부산 금정구 부곡1동 388-33,129.0882734,35.2225576,피자에땅
부산광역시,남구,감만점,부산 남구 감만동 51-14,129.0809568,35.1222744,피자에땅
부산광역시,남구,대연점,부산 남구 대연동 511-1,129.1004319,35.1339421,피자에땅
부산광역시,남구,문현점,부산 남구 문현동 54-5,129.0758846,35.1449405,피자에땅
부산광역시,남구,부산용호점,부산 남구 용호동 366-1,129.1126412,35.123448,피자에땅
부산광역시,동구,수정점,부산 동구 수정로 29,129.0439948,35.1284818,피자에땅
부산광역시,동래구,사직점,부산 동래구 사직북로47번길 4,129.0589792,35.1995114,피자에땅
부산광역시,동래구,안락점,부산 동래구 충렬대로459번길 59,129.1101631,35.197282,피자에땅
부산광역시,부산진구,당감점,부산 부산진구 당감로64번길 56,129.0416154,35.1681105,피자에땅
부산광역시,부산진구,서면점,부산 부산진구 범일로192번길 20,129.0608092,35.1467503,피자에땅
부산광역시,부산진구,양정점,부산 부산진구 진남로 509,129.0711239,35.1695242,피자에땅
부산광역시,북구,만덕점,부산 북구 덕천3동 776-2,129.0212239,35.2112222,피자에땅
부산광역시,북구,화명점,부산 북구 화명대로 75,129.0166157,35.2345744,피자에땅
부산광역시,북구,구포점,부산광역시 북구 시랑로106번길 25,129.0067628,35.1954918,피자에땅
부산광역시,사상구,신모라점,부산 사상구 모라동 1338-3,128.9922455,35.1922697,피자에땅
부산광역시,사상구,신주례점,부산 사상구 주례동 54-76,129.0144899,35.1498504,피자에땅
부산광역시,사상구,학장점,부산 사상구 대동로 129,128.9813525,35.1400811,피자에땅
부산광역시,사하구,부산괴정점,부산 사하구 괴정로 292,128.9931079,35.0963196,피자에땅
부산광역시,사하구,다대포점,부산 사하구 윤공단로 12,128.969317,35.0548249,피자에땅
부산광역시,사하구,장림점,부산 사하구 장림동 321-28,128.9712388,35.0809059,피자에땅
부산광역시,사하구,하단점,부산 사하구 낙동대로 520,128.966135,35.1107246,피자에땅
부산광역시,서구,충무점,부산광역시 서구 천마로 203-1,129.0218934,35.0937607,피자에땅
부산광역시,수영구,광안점,부산 수영구 광남로 188,129.1202534,35.1575099,피자에땅
부산광역시,연제구,토곡점,부산 연제구 연산동 374-32,129.0978492,35.1857781,피자에땅
부산광역시,영도구,동삼점,부산 영도구 태종로 428,129.067675,35.089365,피자에땅
부산광역시,영도구,영도봉래점,부산 영도구 대교로14번길 30,129.0443356,35.0946695,피자에땅
부산광역시,중구,보수점,부산 중구 보수동2가 85-20,129.0242409,35.1049566,피자에땅
부산광역시,해운대구,반여재송점,부산 해운대구 반여1동 1628-1,129.1238624,35.2016574,피자에땅
부산광역시,해운대구,우동점,부산 해운대구 우동 490,129.1573369,35.1653354,피자에땅
부산광역시,해운대구,해운대점,부산 해운대구 양운로 55,129.1762362,35.1681963,피자에땅
부산광역시,강서구,부산 명지점,부산 강서구 명지동 3328,128.9201751,35.1064254,피자마루
부산광역시,기장군,부산 정관1호점,부산광역시 기장군 정관읍 모전리 735,129.163741,35.3340618,피자마루
부산광역시,남구,부산 오륙도점,부산 남구 용호동 495-41,129.1111693,35.115907,피자마루
