store,address,city,district,lng,lat
구미상모초교점,경상북도 구미시 임은동 801-1 ,경상북도,구미시,128.35859409999998,36.089777500000004
구미형곡점,경상북도 구미시 형곡동 292-3,경상북도,구미시,128.3336651,36.107324600000005
구미황상점,경상북도 구미시 황상동 200-7,경상북도,구미시,128.42632659999998,36.1173592
구반포역점,서울특별시 서초구 신반포로 49,서울특별시,서초구,126.9900136,37.502212899999996
구산역점,서울특별시 은평구 서오릉로 130,서울특별시,은평구,126.91850159999998,37.6107829
구일점,서울특별시 구로구 구일로4길 46,서울특별시,구로구,126.877219,37.4927124
군산나운점,전라북도 군산시 나운동 153-7번지,전라북도,군산시,126.69962920000002,35.961243599999996
군산대점,전라북도 군산시 미룡동 888-2 ,전라북도,군산시,126.687702,35.9447964
군산명산사거리점,전라북도 군산시 명산동 7-8 ,전라북도,군산시,126.70977040000001,35.9849829
군산수송점,전라북도 군산시 수송동 841 101호 ,전라북도,군산시,126.71945590000001,35.9665664
군자역점,서울특별시 광진구 천호대로111길 24,서울특별시,광진구,127.0826068,37.5573223
군포경찰서점,경기도 군포시 번영로550번길 3,경기도,군포시,126.9377586,37.360041700000004
군포당동점,경기도 군포시 고산로 251,경기도,군포시,126.9440742,37.3459376
군포대야미점,경기도 군포시 대야1로22번길 4,경기도,군포시,126.91765149999999,37.327507399999995
군포흥진점,경기도 군포시 광정로 25-58,경기도,군포시,126.93052709999999,37.3541645
금산점,충청남도 금산군 금산읍 상리 175-3 엔이시티110호 ,충청남도,금산군,127.4892689,36.1033471
금왕점,충청북도 음성군 금왕읍 무극리 513-1 ,충청북도,음성군,127.590097,36.9923516
금호점,서울특별시 성동구 장터길 43,서울특별시,성동구,127.02074440000001,37.5484004
길동점,서울특별시 강동구 양재대로116길 38,서울특별시,강동구,127.14248789999999,37.538154799999994
길음역점,서울특별시 성북구 동소문로 248,서울특별시,성북구,127.02367360000001,37.6026982
김량장점,경기도 용인시 처인구 중부대로 1360,경기도,용인시,127.19553810000001,37.2343406
김천아포점,경상북도 김천시 아포읍 국사리 1004,경상북도,김천시,128.2623756,36.1595321
김천평화점,경상북도 김천시 평화동 245-24 ,경상북도,김천시,128.11155490000002,36.1253548
김천혁신점,경상북도 김천시 율곡동 652,경상북도,김천시,128.18804,36.1222722
김포감정점,경기도 김포시 중봉1로 9,경기도,김포시,126.6987058,37.6230028
김포고촌점,경기도 김포시 고촌읍 장차로 1,경기도,김포시,126.76963899999998,37.60255479999999
김포사우점,경기도 김포시 사우중로 79,경기도,김포시,126.72052109999998,37.6218911
김포양곡점,경기도 김포시 양촌읍 양곡로 495,경기도,김포시,126.6281128,37.655164299999996
김포장기점,경기도 김포시 김포한강1로51번길 28,경기도,김포시,126.66698090000001,37.6441539
김포통진점,경기도 김포시 통진읍 조강로 40,경기도,김포시,126.6011313,37.6898125
김포풍무점,경기도 김포시 풍무로 105,경기도,김포시,126.72186799999999,37.604937899999996
김해구산점,경상남도 김해시 구산동 483-1,경상남도,김해시,128.8721516,35.2513855
김해내외점,경상남도 김해시 외동 1253-4 임호빌딩 103호 ,경상남도,김해시,128.8655187,35.232634999999995
김해부원점,경상남도 김해시 부원동 609-22 ,경상남도,김해시,128.8827615,35.2287217
김해삼계점,경상남도 김해시 삼계동 1439-5번지 가야아이파크 상가,경상남도,김해시,128.87023390000002,35.2644793
김해삼방점,경상남도 김해시 삼방동 665-8 ,경상남도,김해시,128.9097391,35.250792
김해장유삼문점,경상남도 김해시 장유면 삼문리 39-14 ,경상남도,김해시,128.808808,35.203742
김해진영읍점,경상남도 김해시 진영읍 여래리 708-4,경상남도,김해시,128.73540549999998,35.3029004
나주빛가람점,전라남도 나주시 빛가람동 692-4,전라남도,나주시,126.78804540000002,35.0097464
낙성대역점,서울특별시 관악구 남부순환로 1949,서울특별시,관악구,126.9656159,37.4765457
난곡점,서울특별시 관악구 난곡로 203,서울특별시,관악구,126.91849740000002,37.473110299999995
난곡파로스점,서울특별시 관악구 난곡로 100,서울특별시,관악구,126.9195348,37.4642923
남목3동점,울산광역시 동구 서부동 351-1 ,울산광역시,동구,129.4255546,35.5412333
남부터미널역점,서울특별시 서초구 서초중앙로 42,서울특별시,서초구,127.01627579999999,37.4858725
남성역점,서울특별시 동작구 사당로 226,서울특별시,동작구,126.9728006,37.4835662
남양주금곡점,경기도 남양주시 금곡로38,경기도,남양주시,127.2073527,37.6339415
남양주덕소점,경기도 남양주시 와부읍 덕소로 72,경기도,남양주시,127.21113600000001,37.5870289
남양주도곡점,경기도 남양주시 와부읍 덕소로 194,경기도,남양주시,127.2161087,37.5789305
남양주도농점,경기도 남양주시 도농로17번길 1,경기도,남양주시,127.1569385,37.6075609
남양주마석점,경기도 남양주시 화도읍 마석로 59,경기도,남양주시,127.3057733,37.6562342
남양주사능점,경기도 남양주시 진건읍 진건오남로 93,경기도,남양주시,127.1780933,37.659094700000004
