store,address,city,district,lat,lng
중랑점,"서울특별시 중랑구 망우로 377 (상봉동, 성환빌딩)",서울특별시,중랑구,37.59875460000001,127.0941497
계양점,인천광역시 계양구 주부토로 463 (작전동),인천광역시,계양구,37.5355745,126.7277771
임학점,인천광역시 계양구 장제로 865 (임학동),인천광역시,계양구,37.54453529999999,126.7378892
용현점,"인천광역시 남구 인하로133번길 4 (용현동, 현진원룸주택)",인천광역시,남구,37.4497135,126.663004
주안점,인천광역시 남구 미추홀대로 628 (주안동),인천광역시,남구,37.4533179,126.6801087
간석점,인천광역시 남동구 주안로 259번길 6(간석동),인천광역시,남동구,37.4634686,126.69900619999999
구월점,인천광역시 남동구 문화로 111 (구월동),인천광역시,남동구,37.4490256,126.69930179999999
서창점,인천광역시 남동구 장아산로 130 (서창동),인천광역시,남동구,37.4393664,126.74917909999999
인천논현점,"인천광역시 남동구 소래역로 28, 조은프라자 112호 (논현동)",인천광역시,남동구,37.3998092,126.736029
인천만수점,"인천광역시 남동구 구월로 318, 1층 (만수동, 대성빌딩)",인천광역시,남동구,37.45528839999999,126.72583770000001
부평산곡점,인천광역시 부평구 마장로 168 (산곡동),인천광역시,부평구,37.493325899999995,126.70425420000001
부평점,"인천광역시 부평구 부평대로 114 (부평동, 부평타워큐아파트)",인천광역시,부평구,37.501783200000006,126.72219129999999
삼산점,"인천광역시 부평구 주부토로 295, 1층 (갈산동)",인천광역시,부평구,37.5209157,126.7288014
검단점,"인천광역시 서구 완정로92번길 41, 101, 102호 (마전동, 인천검단힐스테이트2차)",인천광역시,서구,37.6006563,126.6634152
인천석남점,인천광역시 서구 길주로 60 (석남동),인천광역시,서구,37.506281,126.668543
인천연희점,"인천광역시 서구 탁옥로 90 (심곡동, 덕산빌딩)",인천광역시,서구,37.5435717,126.67951219999999
청라점,인천광역시 서구 청라라임로138번길 4-4 (연희동),인천광역시,서구,37.539454600000006,126.65346310000001
송도점,인천광역시 연수구 컨벤시아대로 송도동 21-60 힐스테이트 4단지 116호,인천광역시,연수구,37.395353,126.649077
신연수점,"인천광역시 연수구 함박로91번길 4, 1층 (연수동)",인천광역시,연수구,37.4242644,126.6862588
연수점,인천광역시 연수구 용담로 93,인천광역시,연수구,37.416348299999996,126.6759544
옥련점,"인천광역시 연수구 청량로184번길 52 (옥련동, 삼선프라자)",인천광역시,연수구,37.4253542,126.65468999999999
동인천역점,인천광역시 중구 참외전로 188 도미노피자,인천광역시,중구,37.4714136,126.63646229999999
인천운서점,인천광역시 중구 모랫말로5번길 1(운서동),인천광역시,중구,37.4892402,126.49634750000001
고양점,"경기도 고양시 덕양구 혜음로 68 (고양동, 중부대학교 근처)",경기도,고양시,37.7066061,126.9029071
대화점,"경기도 고양시 일산서구 송포로 26, 117호 (대화동, 현대플라자)",경기도,고양시,37.669056,126.7332639
동탄점,"경기도 화성시 동탄지성로 84, 101~102호 (반송동, PARKPLAZA)",경기도,화성시,37.2072141,127.0656814
마두점,"경기도 고양시 일산동구 일산로 280, 1층 (마두동, 수색상가)",경기도,고양시,37.6608284,126.7867481
원당점,경기도 고양시 덕양구 고양대로 1375 (성사동),경기도,고양시,37.6546852,126.8369959
일산백석점,"경기도 고양시 일산동구 강송로 170, 105~6호 (마두동, 현대프라자)",경기도,고양시,37.6539051,126.7842893
장항점,"경기도 고양시 일산동구 호수로 606, B동 106~107호 (장항동, 코오롱레이크폴리스I)",경기도,고양시,37.6561481,126.76947179999999
중산탄현점,경기도 고양시 일산서구 일중로 46 (일산동),경기도,고양시,37.6836057,126.775361
행신점,"경기도 고양시 덕양구 충경로 29, 1층 (행신동)",경기도,고양시,37.6156696,126.8329457
화정점,경기도 고양시 덕양구 은빛로 53 (화정동),경기도,고양시,37.638006700000005,126.833671
후곡점,"경기도 고양시 일산서구 일산로 511, 1층 (일산동, 태성프라자)",경기도,고양시,37.6761466,126.77065859999999
과천점,"경기도 과천시 새술막길 14, 1층 (중앙동, 과천농협)",경기도,과천시,37.428976399999996,126.990559
광명일직점,경기도 광명시 일직로 28 광명트리플타워 122호,경기도,광명시,37.42207379999999,126.8847318
광명점,"경기도 광명시 하안로 361, 한마음문화센터 (하안동)",경기도,광명시,37.4667534,126.8757057
철산점,경기도 광명시 시청로 32 (철산동),경기도,광명시,37.4795787,126.8641145
경기광주점,"경기도 광주시 역동로 47 (역동, 대복빌딩)",경기도,광주시,37.4040326,127.25651609999998
곤지암점,"경기도 광주시 곤지암읍 경충대로 772 (삼리, 다모아빌딩)",경기도,광주시,37.356402100000004,127.3248818
오포점,"경기도 광주시 오포읍 오포로 116, 106~107호 (능평리, 한산빌딩)",경기도,광주시,37.3437175,127.1790386
구리인창점,경기도 구리시 동구릉로 79 (인창동),경기도,구리시,37.6071768,127.13407020000001
구리점,"경기도 구리시 벌말로 185, 상가 110~111호 (수택동, 구리태영데시앙아파트)",경기도,구리시,37.593869399999996,127.1498577
군포점,경기도 군포시 금당로 23 (당동),경기도,군포시,37.350120399999994,126.94049240000001
산본점,경기도 군포시 산본로431번안길 3-7 (산본동),경기도,군포시,37.367283,126.9262244
고촌점,경기도 김포시 고촌읍 은행영사정로 41 (신곡리),경기도,김포시,37.602799100000006,126.7747866
김포구래점,경기도 김포시 김포한강9로12번길 97-10,경기도,김포시,37.6408835,126.6273092
김포사우점,"경기도 김포시 돌문로 95, 1층 104호 (사우동)",경기도,김포시,37.6216053,126.7132098
김포장기점,경기도 김포시 김포한강1로78번길 62-15 (장기동),경기도,김포시,37.6425971,126.6724027
김포통진점,경기도 김포시 통진읍 조강로 24 (서암리),경기도,김포시,37.6887526,126.6024115
남양주점,경기도 남양주시 진접읍 진건오남로 998 (연평리),경기도,남양주시,37.7093,127.18593090000002
덕소점,"경기도 남양주시 와부읍 수레로 49, 104~105호 (덕소리, 마이다스빌딩)",경기도,남양주시,37.588442799999996,127.2167856
마석점,경기도 남양주시 화도읍 마석중앙로28번길 40-1 (창현리),경기도,남양주시,37.6511963,127.3062347
별내점,경기 남양주시 송산로 153 오토스퀘어 빌딩,경기도,남양주시,37.656249,127.12938700000001
호평평내점,경기도 남양주시 경춘로 1324,경기도,남양주시,37.6510883,127.23919620000001
동두천점,경기도 동두천시 삼육사로 945 (생연동),경기도,동두천시,37.899033700000004,127.0546852
고강원종점,경기도 부천시 오정구 역곡로 448 (고강동),경기도,부천시,37.52444600000001,126.815729
부천심곡점,경기도 부천시 소사구 경인로 181 (심곡본동),경기도,부천시,37.484095,126.775473
부천약대점,"경기도 부천시 원미구 도약로 213, 1층 (약대동)",경기도,부천시,37.510496,126.773298
부천옥길점,경기도 부천시 양지로 125 예품빌딩 1층,경기도,부천시,37.4717638,126.8169011
부천점,경기도 부천시 원미구 상일로 157 (상동),경기도,부천시,37.490803,126.759951
상동점,경기도 부천시 원미구 상이로39번길 7-7 (상동),경기도,부천시,37.491985,126.74383
소사역곡점,경기도 부천시 원미구 부일로 556 (소사동),경기도,부천시,37.484343,126.791853
중동점,경기도 부천시 원미구 길주로 352 (중동),경기도,부천시,37.50225,126.781601
미금오리점,"경기 성남시 분당구 성남대로 52 (103호, 104호)",경기도,성남시,37.3404501,127.1094051
서현점,"경기도 성남시 분당구 서현로 377, 거송빌딩 1층 (서현동)",경기도,성남시,37.3766178,127.13977659999998
성남상대원점,경기도 성남시 중원구 금상로 27,경기도,성남시,37.4385073,127.1601405
성남수진점,경기도 성남시 중원구 산성대로 200 (성남동),경기도,성남시,37.4369423,127.1407449
성남태평점,"경기도 성남시 수정구 성남대로 1276, 1층 (태평동)",경기도,성남시,37.443646799999996,127.1274023
수내정자점,"경기도 성남시 분당구 내정로113번길 4, 정자프라자 107호 (정자동)",경기도,성남시,37.370672799999994,127.11484009999998
야탑점,경기도 성남시 분당구 매화로 43,경기도,성남시,37.4114859,127.13361359999999
이매점,"경기도 성남시 분당구 성남대로779번길 22 (이매동, 이매상가)",경기도,성남시,37.399449,127.1259487
판교점,"경기도 성남시 분당구 서판교로 160, 106~108호 (판교동, 스타식스밸리)",경기도,성남시,37.4002582,127.0948118
광교점,경기도 수원시 영통구 센트럴타운로 92 (이의동),경기도,수원시,37.291785100000006,127.0511528
권선점,"경기도 수원시 권선구 권선로 746 (권선동, 효명빌딩)",경기도,수원시,37.257387,127.0325387
남수원점,"경기도 수원시 권선구 경수대로 349, 1층 (권선동)",경기도,수원시,37.2579266,127.0223398
동수원점,경기도 수원시 팔달구 세지로 394(우만동),경기도,수원시,37.2848574,127.02842609999999
북수원점,"경기도 수원시 장안구 송원로 8 (송죽동, 웰가아파트)",경기도,수원시,37.2963865,127.00513729999999
서수원점,경기도 수원시 권선구 금호로 190-1 (탑동),경기도,수원시,37.274255100000005,126.97090859999999
