city,district,cost,count,citycode,citycode_mod,population,sales,brand,area,pizzaschool,domino,pizzahut,mrpizza,EarningRatio
전라북도,완주군,336520000,1,45710,45,93382.0,803489333.3333334,domino,전라북도 완주군,False,True,False,False,2.388
전라북도,부안군,329920000,0,45800,45,54030.0,803489333.3333334,domino,전라북도 부안군,False,True,False,False,2.435
전라북도,남원시,341470000,1,45190,45,82095.0,803489333.3333334,domino,전라북도 남원시,False,True,False,False,2.353
전라북도,전주시,376945000,6,45111,45,653694.0,803489333.3333334,domino,전라북도 전주시,False,True,False,False,2.132
제주특별자치도,서귀포시,489820000,1,50130,50,181505.0,351021000.0,domino,제주특별자치도 서귀포시,False,True,False,False,0.717
제주특별자치도,제주시,518320000,3,50110,50,487143.0,351021000.0,domino,제주특별자치도 제주시,False,True,False,False,0.677
충청남도,홍성군,377770000,2,44800,44,101037.0,696082666.6666666,domino,충청남도 홍성군,False,True,False,False,1.843
충청남도,태안군,340645000,0,44825,44,63062.0,696082666.6666666,domino,충청남도 태안군,False,True,False,False,2.043
충청남도,청양군,324970000,0,44790,44,31642.0,696082666.6666666,domino,충청남도 청양군,False,True,False,False,2.142
충청남도,천안시,400045000,6,44131,44,649107.0,696082666.6666666,domino,충청남도 천안시,False,True,False,False,1.74
충청남도,예산군,297745000,0,44810,44,79791.0,696082666.6666666,domino,충청남도 예산군,False,True,False,False,2.338
충청남도,아산시,375295000,2,44200,44,313537.0,696082666.6666666,domino,충청남도 아산시,False,True,False,False,1.855
충청남도,부여군,333220000,0,44760,44,67524.0,696082666.6666666,domino,충청남도 부여군,False,True,False,False,2.089
충청남도,계룡시,351370000,1,44250,44,43378.0,696082666.6666666,domino,충청남도 계룡시,False,True,False,False,1.981
충청남도,공주시,355495000,1,44150,44,107036.0,696082666.6666666,domino,충청남도 공주시,False,True,False,False,1.958
충청남도,서천군,311770000,0,44770,44,53462.0,696082666.6666666,domino,충청남도 서천군,False,True,False,False,2.233
충청남도,서산시,374470000,2,44210,44,174344.0,696082666.6666666,domino,충청남도 서산시,False,True,False,False,1.859
충청남도,논산시,335695000,1,44230,44,120005.0,696082666.6666666,domino,충청남도 논산시,False,True,False,False,2.074
충청남도,당진시,380244999,1,44270,44,167481.0,696082666.6666666,domino,충청남도 당진시,False,True,False,False,1.831
충청남도,보령시,351370000,1,44180,44,101549.0,696082666.6666666,domino,충청남도 보령시,False,True,False,False,1.981
충청남도,금산군,371994999,0,44710,44,52957.0,696082666.6666666,domino,충청남도 금산군,False,True,False,False,1.871
충청북도,괴산군,374470000,0,43760,43,38133.0,763789333.3333334,domino,충청북도 괴산군,False,True,False,False,2.04
충청북도,보은군,298570000,0,43720,43,33448.0,763789333.3333334,domino,충청북도 보은군,False,True,False,False,2.558
충청북도,영동군,313420000,0,43740,43,49179.0,763789333.3333334,domino,충청북도 영동군,False,True,False,False,2.437
충청북도,옥천군,353845000,0,43730,43,51371.0,763789333.3333334,domino,충청북도 옥천군,False,True,False,False,2.159
충청북도,제천시,335695000,1,43150,43,135243.0,763789333.3333334,domino,충청북도 제천시,False,True,False,False,2.275
충청북도,증평군,337345000,1,43745,43,37378.0,763789333.3333334,domino,충청북도 증평군,False,True,False,False,2.264
충청북도,진천군,358795000,0,43750,43,79919.0,763789333.3333334,domino,충청북도 진천군,False,True,False,False,2.129
충청북도,청주시,392619999,7,43111,43,838887.0,763789333.3333334,domino,충청북도 청주시,False,True,False,False,1.945
충청북도,충주시,357970000,1,43130,43,210463.0,763789333.3333334,domino,충청북도 충주시,False,True,False,False,2.134
충청북도,음성군,343945000,2,43770,43,95375.0,763789333.3333334,domino,충청북도 음성군,False,True,False,False,2.221
