store,address,city,district,lat,lng,population,city_district
영등포점,"서울특별시 영등포구 문래북로 108 (문래동3가, 문래동태영데시앙)",서울특별시,영등포구,37.5197002,126.8976235,368874,서울특별시영등포구
용산점,"서울특별시 용산구 원효로 210-1, 1층 (원효로2가)",서울특별시,용산구,37.5373714,126.9655087,228940,서울특별시용산구
이촌점,서울특별시 용산구 서빙고로 40 (한강로3가),서울특별시,용산구,37.5239945,126.9687497,228940,서울특별시용산구
이태원점,"서울특별시 용산구 보광로 112-3, 2층 (이태원동)",서울특별시,용산구,37.5328758,126.9946724,228940,서울특별시용산구
후암점,"서울특별시 용산구 두텁바위로 13, 102호 (갈월동, 그린빌파크오피스텔)",서울특별시,용산구,37.5455164,126.9739411,228940,서울특별시용산구
가좌점,"서울특별시 은평구 증산로 303, 상가 104~106호 (증산동, 태광아파트)",서울특별시,은평구,37.5841679,126.909566,484267,서울특별시은평구
구파발점,"서울특별시 은평구 진관4로 17, 820동 상가 101호 (진관동, 은평뉴타운상림마을)",서울특별시,은평구,37.6440574,126.9227324,484267,서울특별시은평구
연신내점,서울특별시 은평구 통일로 797 (대조동),서울특별시,은평구,37.6153384,126.9249775,484267,서울특별시은평구
은평점,서울특별시 은평구 연서로 35 (역촌동),서울특별시,은평구,37.6022741,126.915578,484267,서울특별시은평구
응암점,"서울특별시 은평구 백련산로 160 (응암동, 녹번역센트레빌)",서울특별시,은평구,37.598677,126.926119,484267,서울특별시은평구
대학로점,서울특별시 종로구 율곡로 223 (이화동),서울특별시,종로구,37.5762985,127.0036811,152495,서울특별시종로구
성균관대 인사캠(서울점),서울특별시 종로구 성균관로 25-2 지하 1층 600주년 기념관,서울특별시,종로구,37.5879535,126.9921594,152495,서울특별시종로구
세종로점,서울특별시 종로구 필운대로 43 (누하동),서울특별시,종로구,37.5799019,126.9685239,152495,서울특별시종로구
명동점,서울특별시 중구 마른내로 47 (초동),서울특별시,중구,37.5647074,126.9932319,228014,서울특별시중구
신당점,서울특별시 중구 다산로 156 (신당동),서울특별시,중구,37.5575864,127.0124888,228014,서울특별시중구
면목점,"서울특별시 중랑구 용마산로86길 9-27, 상가 104호 (면목동, 신성미소지움아파트)",서울특별시,중랑구,37.5870716,127.095859,401546,서울특별시중랑구
중랑점,"서울특별시 중랑구 망우로 377 (상봉동, 성환빌딩)",서울특별시,중랑구,37.59875460000001,127.0941497,401546,서울특별시중랑구
계양점,인천광역시 계양구 주부토로 463 (작전동),인천광역시,계양구,37.5355745,126.7277771,308685,인천광역시계양구
임학점,인천광역시 계양구 장제로 865 (임학동),인천광역시,계양구,37.54453529999999,126.7378892,308685,인천광역시계양구
용현점,"인천광역시 남구 인하로133번길 4 (용현동, 현진원룸주택)",인천광역시,남구,37.4497135,126.663004,413178,인천광역시남구
주안점,인천광역시 남구 미추홀대로 628 (주안동),인천광역시,남구,37.4533179,126.6801087,413178,인천광역시남구
간석점,인천광역시 남동구 주안로 259번길 6(간석동),인천광역시,남동구,37.4634686,126.6990062,536255,인천광역시남동구
구월점,인천광역시 남동구 문화로 111 (구월동),인천광역시,남동구,37.4490256,126.6993018,536255,인천광역시남동구
서창점,인천광역시 남동구 장아산로 130 (서창동),인천광역시,남동구,37.4393664,126.7491791,536255,인천광역시남동구
인천논현점,"인천광역시 남동구 소래역로 28, 조은프라자 112호 (논현동)",인천광역시,남동구,37.3998092,126.736029,536255,인천광역시남동구
인천만수점,"인천광역시 남동구 구월로 318, 1층 (만수동, 대성빌딩)",인천광역시,남동구,37.45528839999999,126.7258377,536255,인천광역시남동구
부평산곡점,인천광역시 부평구 마장로 168 (산곡동),인천광역시,부평구,37.4933259,126.7042542,520171,인천광역시부평구
부평점,"인천광역시 부평구 부평대로 114 (부평동, 부평타워큐아파트)",인천광역시,부평구,37.50178320000001,126.7221913,520171,인천광역시부평구
삼산점,"인천광역시 부평구 주부토로 295, 1층 (갈산동)",인천광역시,부평구,37.5209157,126.7288014,520171,인천광역시부평구
검단점,"인천광역시 서구 완정로92번길 41, 101, 102호 (마전동, 인천검단힐스테이트2차)",인천광역시,서구,37.6006563,126.6634152,542989,인천광역시서구
인천석남점,인천광역시 서구 길주로 60 (석남동),인천광역시,서구,37.506281,126.668543,542989,인천광역시서구
인천연희점,"인천광역시 서구 탁옥로 90 (심곡동, 덕산빌딩)",인천광역시,서구,37.5435717,126.6795122,542989,인천광역시서구
청라점,인천광역시 서구 청라라임로138번길 4-4 (연희동),인천광역시,서구,37.539454600000006,126.6534631,542989,인천광역시서구
송도점,인천광역시 연수구 컨벤시아대로 송도동 21-60 힐스테이트 4단지 116호,인천광역시,연수구,37.395353,126.649077,352172,인천광역시연수구
신연수점,"인천광역시 연수구 함박로91번길 4, 1층 (연수동)",인천광역시,연수구,37.4242644,126.6862588,352172,인천광역시연수구
연수점,인천광역시 연수구 용담로 93,인천광역시,연수구,37.4163483,126.6759544,352172,인천광역시연수구
옥련점,"인천광역시 연수구 청량로184번길 52 (옥련동, 삼선프라자)",인천광역시,연수구,37.4253542,126.65469,352172,인천광역시연수구
동인천역점,인천광역시 중구 참외전로 188 도미노피자,인천광역시,중구,37.4714136,126.6364623,228014,인천광역시중구
인천운서점,인천광역시 중구 모랫말로5번길 1(운서동),인천광역시,중구,37.4892402,126.4963475,228014,인천광역시중구
고양점,"경기도 고양시 덕양구 혜음로 68 (고양동, 중부대학교 근처)",경기도,고양시,37.7066061,126.9029071,1045533,경기도고양시
대화점,"경기도 고양시 일산서구 송포로 26, 117호 (대화동, 현대플라자)",경기도,고양시,37.669056,126.7332639,1045533,경기도고양시
동탄점,"경기도 화성시 동탄지성로 84, 101~102호 (반송동, PARKPLAZA)",경기도,화성시,37.2072141,127.0656814,781507,경기도화성시
마두점,"경기도 고양시 일산동구 일산로 280, 1층 (마두동, 수색상가)",경기도,고양시,37.6608284,126.7867481,1045533,경기도고양시
원당점,경기도 고양시 덕양구 고양대로 1375 (성사동),경기도,고양시,37.6546852,126.8369959,1045533,경기도고양시
일산백석점,"경기도 고양시 일산동구 강송로 170, 105~6호 (마두동, 현대프라자)",경기도,고양시,37.6539051,126.7842893,1045533,경기도고양시
장항점,"경기도 고양시 일산동구 호수로 606, B동 106~107호 (장항동, 코오롱레이크폴리스I)",경기도,고양시,37.6561481,126.7694718,1045533,경기도고양시
중산탄현점,경기도 고양시 일산서구 일중로 46 (일산동),경기도,고양시,37.6836057,126.775361,1045533,경기도고양시
행신점,"경기도 고양시 덕양구 충경로 29, 1층 (행신동)",경기도,고양시,37.6156696,126.8329457,1045533,경기도고양시
화정점,경기도 고양시 덕양구 은빛로 53 (화정동),경기도,고양시,37.63800670000001,126.833671,1045533,경기도고양시
후곡점,"경기도 고양시 일산서구 일산로 511, 1층 (일산동, 태성프라자)",경기도,고양시,37.6761466,126.7706586,1045533,경기도고양시
과천점,"경기도 과천시 새술막길 14, 1층 (중앙동, 과천농협)",경기도,과천시,37.4289764,126.990559,58218,경기도과천시
광명일직점,경기도 광명시 일직로 28 광명트리플타워 122호,경기도,광명시,37.42207379999999,126.8847318,323527,경기도광명시
광명점,"경기도 광명시 하안로 361, 한마음문화센터 (하안동)",경기도,광명시,37.4667534,126.8757057,323527,경기도광명시
철산점,경기도 광명시 시청로 32 (철산동),경기도,광명시,37.4795787,126.8641145,323527,경기도광명시
경기광주점,"경기도 광주시 역동로 47 (역동, 대복빌딩)",경기도,광주시,37.4040326,127.25651609999998,366092,경기도광주시
곤지암점,"경기도 광주시 곤지암읍 경충대로 772 (삼리, 다모아빌딩)",경기도,광주시,37.3564021,127.3248818,366092,경기도광주시
