city,district,population,평당 매매가,pizza_school,mr_pizza,pizza_hut,domino
경상남도,거창군,62676.0,485.1,112010000,211293000,342277000,353845000
경상남도,거제시,248856.0,594.0,122900000,225450000,371680000,381070000
경상남도,함안군,66406.0,359.7,99470000,194991000,308419000,322495000
경상남도,진주시,346678.0,676.5,131150000,236175000,393955000,401695000
경상북도,영천시,101360.0,415.8,105080000,202284000,323566000,336520000
경상북도,포항시,509064.0,564.3,119930000,221589000,363661000,373645000
경상북도,칠곡군,118389.0,402.6,103760000,200568000,320002000,333220000
경상북도,예천군,54290.0,712.8,134780000,240894000,403756000,410770000
경상북도,영주시,106100.0,425.7,106070000,203571000,326239000,338995000
경상북도,경산시,261087.0,696.3,133130000,238749000,399301000,406645000
경상북도,성주군,44312.0,396.0,103100000,199710000,318220000,331570000
경상북도,상주시,100051.0,396.0,103100000,199710000,318220000,331570000
경상북도,문경시,71939.0,511.5,114650000,214725000,349405000,360445000
경상북도,김천시,141397.0,366.3,100130000,195849000,310201000,324145000
경상북도,경주시,256426.0,557.6999999999998,119269999,220730999,361878999,371994999
경상북도,안동시,160737.0,471.9,110690000,209577000,338713000,350545000
경상북도,구미시,420294.0,521.4,115640000,216012000,352078000,362920000
광주광역시,광산구,406384.0,726.0,136100000,242610000,407320000,414070000
광주광역시,남구,217949.0,848.0999999999997,148309999,258482999,440286999,444594999
광주광역시,동구,95743.0,584.1,121910000,224163000,369007000,378595000
광주광역시,북구,436188.0,607.1999999999998,124219999,227165999,375243999,384369999
광주광역시,서구,301909.0,759.0,139400000,246900000,416230000,422320000
대구광역시,달성군,253800.0,828.3,146330000,255909000,434941000,439645000
대구광역시,수성구,431613.0,1329.9,196490000,321117000,570373000,565045000
대구광역시,달서구,571682.0,877.8,151280000,262344000,448306000,452020000
대구광역시,중구,78504.0,1194.6,182960000,303528000,533842000,531220000
대전광역시,대덕구,180249.0,607.1999999999998,124219999,227165999,375243999,384369999
대전광역시,유성구,349868.0,904.2,153920000,265776000,455434000,458620000
부산광역시,해운대구,408384.0,1204.5,183950000,304815000,536515000,533695000
부산광역시,연제구,209712.0,1092.3,172730000,290229000,506221000,505645000
부산광역시,영도구,119045.0,640.1999999999998,127519999,231455999,384153999,392619999
부산광역시,수영구,175744.0,1277.1,191210000,314253000,556117000,551845000
부산광역시,동래구,267567.0,1079.1,171410000,288513000,502657000,502345000
부산광역시,사상구,221994.0,699.5999999999997,133459999,239177999,400191999,407469999
부산광역시,부산진구,359247.0,887.6999999999997,152269999,263630999,450978999,454494999
부산광역시,기장군,165024.0,798.5999999999997,143359999,252047999,426921999,432219999
부산광역시,사하구,325166.0,663.3,129830000,234459000,390391000,398395000
부산광역시,금정구,241986.0,1069.2,170420000,287226000,499984000,499870000
부산광역시,강서구,126333.0,917.4,155240000,267492000,458998000,461920000
서울특별시,중랑구,401546.0,1452.0,208700000,336990000,603340000,595570000
서울특별시,종로구,152495.0,2461.8,309680000,468264000,875986000,848020000
서울특별시,은평구,484267.0,1745.6999999999994,238069999,375170999,682638999,668994999
서울특별시,용산구,228940.0,3468.3,410330000,599109000,1147741000,1099645000
서울특별시,영등포구,368874.0,2481.6,311660000,470838000,881332000,852970000
서울특별시,양천구,462126.0,2659.8,329480000,494004000,929446000,897520000
서울특별시,성북구,439754.0,1815.0,245000000,384180000,701350000,686320000
서울특별시,성동구,305785.0,2844.6,347960000,518028000,979342000,943720000
서울특별시,서초구,432336.0,4672.8,530780000,755694000,1472956000,1400770000
서울특별시,송파구,679824.0,3590.4,422540000,614982000,1180708000,1130170000
서울특별시,마포구,374824.0,2725.8,336080000,502584000,947266000,914020000
서울특별시,동작구,399118.0,2435.4,307040000,464832000,868858000,841420000
서울특별시,동대문구,346312.0,1937.1,257210000,400053000,734317000,716845000
서울특별시,강남구,542108.0,4917.0,555200000,787440000,1538890000,1461820000
서울특별시,도봉구,337346.0,1379.4,201440000,327552000,583738000,577420000
서울특별시,노원구,539884.0,1633.5,226850000,360585000,652345000,640945000
서울특별시,금천구,234173.0,1452.0,208700000,336990000,603340000,595570000
서울특별시,구로구,405516.0,1636.8,227180000,361014000,653236000,641770000
서울특별시,광진구,354344.0,2577.3,321230000,483279000,907171000,876895000
서울특별시,관악구,502251.0,1749.0,238400000,375600000,683530000,669820000
서울특별시,서대문구,311586.0,2032.8,266780000,412494000,760156000,740770000
서울특별시,강동구,424727.0,2620.2,325520000,488856000,918754000,887620000
서울특별시,강북구,316604.0,1498.1999999999994,213319999,342995999,615813999,607119999
세종특별자치시,세종특별자치시,324417.0,1177.0,181200000,301240000,529090000,526820000
울산광역시,울주군,222191.0,739.1999999999997,137419999,244325999,410883999,417369999
인천광역시,강화군,68992.0,501.6,113660000,213438000,346732000,357970000
인천광역시,부평구,520171.0,957.0,159200000,272640000,469690000,471820000
