store,address,lng,lat,city,district,city_district
부산센텀점,"부산 해운대구 우동 1506번지 센텀스퀘어상가 204,205호",129.1334535,35.167133,부산광역시,해운대구,부산광역시해운대구
부산연산점,부산 연제구 거제동 1470-14,129.0808343,35.192480200000006,부산광역시,연제구,부산광역시연제구
부산영도점,부산 영도구 동삼동 232-1 일동미라주브라이튼 상가 106호,129.0705469,35.0821941,부산광역시,영도구,부산광역시영도구
부산온천점,부산 동래구 온천1동 154-12,129.0836072,35.2195444,부산광역시,동래구,부산광역시동래구
부산용호3호점,부산 남구 용호1동 369-8,129.11204009999997,35.12136629999999,부산광역시,남구,부산광역시남구
부산정관점,부산 기장군 정관면 매학리 748-6,129.17907490000002,35.3207406,부산광역시,기장군,부산광역시기장군
부산진역점,부산 동구 수정동 1-61,129.0488207,35.1291911,부산광역시,동구,부산광역시동구
부산학장점,부산 사상구 학장동 272-3,128.98770190000002,35.1480005,부산광역시,사상구,부산광역시사상구
부산화명3호점,부산 북구 화명동 182-5,129.0130743,35.245234,부산광역시,북구,부산광역시북구
신해운대점,부산 해운대구 좌동 1327-5,129.1825932,35.16867020000001,부산광역시,해운대구,부산광역시해운대구
가락3호점,서울 송파구 가락동 121-4,127.1245565,37.493008,서울특별시,송파구,서울특별시송파구
가산점,서울 금천구 디지털로 206 1층,126.8893362,37.4786958,서울특별시,금천구,서울특별시금천구
강남논현점,서울 강남구 논현동 234번지 2층,127.03380190000001,37.5084309,서울특별시,강남구,서울특별시강남구
강동3호점,서울 강동구 천호동 151-2,127.13566189999999,37.5384783,서울특별시,강동구,서울특별시강동구
개봉2호점,서울 구로구 개봉동 353-14 2층,126.8561903,37.497155600000006,서울특별시,구로구,서울특별시구로구
개포3호점,서울 서초구 양재동 84-15,127.0431992,37.4805967,서울특별시,서초구,서울특별시서초구
거여점,서울 송파구 거여동 562-2번지 2층,127.14359590000001,37.493162899999994,서울특별시,송파구,서울특별시송파구
